id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
938,一日萬幾,0,0,0,0,1,0,0,0,0,0,0,0,0
580,一字一珠,0,0,0,0,1,0,0,0,0,0,0,0,0
579,百鍛千煉,0,0,0,0,1,0,0,0,0,0,0,0,0
939,一矉一笑,0,0,0,0,1,0,0,0,0,0,0,0,0
578,拔十失五,0,1,0,0,0,0,0,0,0,0,0,0,0
600,千章萬句,0,0,0,0,1,0,0,0,0,0,0,0,0
917,百縱千隨,0,0,0,0,1,0,0,0,0,0,0,0,0
894,千秋萬古,0,0,0,0,1,0,0,0,0,0,0,0,0
613,一千一方,0,0,1,0,1,1,0,0,0,0,0,0,0
895,一鼓一板,0,0,0,0,1,0,0,0,0,0,0,0,0
897,一食萬錢,0,0,0,0,1,0,0,0,0,0,0,0,0
624,一弛一張,0,0,0,0,1,0,0,0,0,0,0,0,0
623,九十為半,0,1,0,1,0,1,0,0,0,0,0,0,0
861,半間半界,0,0,0,0,1,0,0,0,0,0,0,0,0
899,一壑一立,0,0,0,0,1,0,0,0,0,0,0,0,0
621,三熏三沐,0,0,0,0,1,0,0,0,0,0,0,0,0
900,二心三意,0,0,0,0,1,0,0,0,0,0,0,0,0
620,三薰三沐,0,0,0,0,1,0,0,0,0,0,0,0,0
619,半吐半咽,0,0,0,0,1,0,0,0,0,0,0,0,0
901,百計千方,0,0,0,0,1,0,0,0,0,0,0,0,0
902,一遞一和,0,0,0,0,1,0,0,0,0,0,0,0,0
905,調三窩四,0,1,0,0,0,0,0,0,0,0,0,0,0
906,千條萬端,0,0,0,0,1,0,0,0,0,0,0,0,0
907,萬別千差,0,0,0,0,1,0,0,0,0,0,0,0,0
602,一物一制,0,0,0,0,1,0,0,0,0,0,0,0,0
908,丈一丈二,0,1,0,0,0,0,0,0,0,0,0,0,0
611,諷一勸百,0,1,0,0,0,0,0,0,0,0,0,0,0
610,二三其心,0,0,0,0,0,1,0,0,0,0,0,0,0
909,一步一鬼,0,0,0,0,1,0,0,0,0,0,0,0,0
910,挑三豁四,0,1,0,0,0,0,0,0,0,0,0,0,0
609,六張五角,0,0,0,0,1,0,0,0,0,0,0,0,0
943,三瓦四舍,0,0,0,0,1,0,0,0,0,0,0,0,0
608,四路八方,0,0,0,0,1,0,0,0,0,0,0,0,0
911,三沐三薰,0,0,0,0,1,0,0,0,0,0,0,0,0
